Op.,WoO,Hess,Biam-onti,Title,Key,Date,Scoring,Genre,Notes,
108/22,—,—,660/22,,,,,,,
"The Highland Watch (""Old Scotia, wake thy mountain strain"")",,,,,,,,,,
1817,v vn vc pf,Vocal,,,,,,,,
108/23,—,—,660/23,,,,,,,
"The Shepherd's Song (""The gowan glitters on the sward"")",,,,,,,,,,
1818,v vn vc pf,Vocal,,,,,,,,
108/24,—,—,660/24,,,,,,,
"Again, my Lyre",,,,,,,,,,
1815,v vn vc pf,Vocal,,,,,,,,
108/25,—,—,660/25,,,,,,,
"Sally in Our Alley (""Of all the girls that are so smart"")",,,,,,,,,,
1817,v vn vc pf,Vocal,,,,,,,,
109,—,—,729,Piano Sonata No.30,E major,1820,pf,Keyboard,,
110,—,—,739,Piano Sonata No.31,A♭ major,1821-22,pf,Keyboard,,
111,—,—,741,Piano Sonata No.32,C minor,1821-22,pf,Keyboard,,
112,—,—,609,Meeresstille und glückliche Fahrt(Calm Sea & Prosperous Voyage),D major,1814-15,ch orch,Orchestral,,
113,—,118,539,"Die Ruinen von Athen (The Ruins of Athens), music to Kotzebue's drama",,1811,vv ch orch,Stage,1st version of Op. 114,
114,—,118,742,"Die Ruinen von Athen (The Ruins of Athens), music to Kotzebue's drama",,1822,vv ch orch,Stage,"2nd version of Op. 113; includes Op. 124, WoO 98",
115,—,—,597,"Overture, 'Zur Namensfeier' (Name-Day)",C major,1814-15,orch,Orchestral,,
116,—,—,567,"Tremate, empi tremate",B♭ major,1802-14,3vv orch,Vocal,,
117,—,—,538,"König Stephan (King Stephen), music to Kotzebue's play",E♭ major,1811,vv ch orch,Stage,,
118,—,—,576,"Elegischer Gesang (""Sanft wie du lebtest"")",,1814,4vv 2vn va vc,Vocal,,
119,—,—,745,Bagatelles (11),,1820-22,pf,Keyboard,,
120,—,—,774,Veränderungen über einen Walzer ('Diabelli Variations'),C major,1819-23,pf,Keyboard,,
121a,—,—,654,Variations on 'Ich bin der Schneider Kakadu' (10),G major,1803-16,vn va pf,Chamber,on a theme from Die Schwestern von Prag by Wenzel Müller,
121b,—,—,766,"Opferlied (""Die Flamme lodert"")",E major,1822,3vv ch orch,Vocal,"3rd version of Op. 121b, WoO 126, Hess 91, Hess 145",
121b,—,—,790,"Opferlied (""Die Flamme lodert"")",E major,1824,3vv ch orch,Vocal,"4th version of Op. 121b, WoO 126, Hess 91, Hess 145",
122,—,—,767,"Bundeslied (""In allen guten Stunden"")",B♭ major,1822-24,2vv ch ww br,Vocal,,
123,—,—,776,Missa solemnis,D major,1819-23,4vv ch org orch,Vocal,,
124,—,118,742,"Die Weihe des Hauses, overture",C major,1822,orch,Orchestral,overture to Op.114,
125,—,—,787,Symphony No.9,D minor,1817-24,sop alt ten bass ch,Vocal,,
126,—,—,788,Bagatelles(6),,1824,pf,Keyboard,,
127,—,—,803,String Quartet No.12,E♭ major,1822-25,2vn va vc,Chamber,,
128,—,—,748,"Der Kuß(""Ich var bei Chloen ganz allein"")",A major,1798-1822,v pf,Vocal,,
129,—,—,162,Rondo a capriccio ('Rage Over a Lost Penny'),G major,1795,pf,Keyboard,,
130,—,—,830,String Quartet No.13,B♭ major,1825,2vn va vc,Chamber,1st version (including Op.133),
130,—,—,847,String Quartet No.13,B♭ major,1826,2vn va vc,Chamber,2nd version,
131,—,—,840,String Quartet No.14,C♯ minor,1825-26,2vn va vc,Chamber,,
132,—,—,808,String Quartet No.15 ('Heiliger Dankgesang'),A minor,1823-25,2vn va vc,Chamber,,
133,—,—,830,Große Fuge,B♭ major,1825-26,2vn va vc,Chamber,finale to 1st version of Op.130, arr.for pf4h as Op.134
134,—,86,841,Große Fuge,B♭ major,1826,pf4h,Keyboard,arr. from Op.133,
135,—,—,845,String Quartet No.16,F major,1826,2vn va vc,Chamber,,
136,—,—,581,Der glorreiche Augenblick (The Glorious Moment),,1814,4vv ch orch,Vocal,,
137,—,—,678,Fugue in D major,D major,1817,2vn va vc,Chamber,,
138,—,—,422,Leonora Overture No.1,C major,1807,orch,Orchestral,"3rd version of Opp. 72a, 72b",
—,1,—,29,Musik zu einem Ritterballet,D major,1790-91,orch,Stage,music for a ballet of knights, also arr. for pf
—,1,89,30,Musik zu einem Ritterballet,D major,1791,pf,Stage,arr. of version for orch,
—,2,—,—,"Tarpeja, music for Christoph Kuffner's drama (2):",,1813,orch,Stage,,
—,2a,117,553,,,,,,,
Triumphal March,,,,,,,,,,
C major,1813,orch,Stage,,,,,,,
—,2b,117,554,,,,,,,
Prelude to Act II,,,,,,,,,,
D major,1805?,orch,Stage,"now thought to be from the opening of Act II of ''Leonore'', Op. 72 (2nd version)",,,,,,
—,3,—,744,Gratulations-Menuett,E♭ major,1822,orch,Orchestral,,
—,4,—,10,Piano Concerto,E-flat major,1784,pf orch,Orchestral,only pf part survives, completed by Willy Hess
—,5,10,33,Violin Concerto,C major,1790-92,vn orch,Orchestral,only fragment of movt. I survives, completed by Joseph Hellmesberger Sr. (1876)
—,6,—,103,Rondo,B♭ major,1793,pf orch,Orchestral,"probably original finale to Op. 19; only fragment survives, completed by Carl Czerny",
—,7,—,88,Minuets (12),,1795,orch,Orchestral,also arr. for pf,
—,7,101,92,Minuets (12),,1795,pf,Keyboard,arr. of version for orch,
—,8,—,89,German Dances (12),,1795,orch,Orchestral,also arr. for pf,
—,8,100,93,German Dances (12),,1795,pf,Keyboard,arr. of version for orch,
—,9,26,101,Minuets (6),,1795,2vn vc,Chamber,,
—,10,—,—,Minuets (6),,1795,orch,Orchestral,version lost, also arr. for pf
—,10,—,102,Minuets (6),,1795,pf,Keyboard,arr. of version for orch,
—,11,—,—,Ländler (7),,1799,orch,Orchestral,version lost, also arr. for pf
—,11,27,163,Ländler (7),,1799,pf,Keyboard,arr. of version for orch,
—,12,2,—,Minuets(12),,1799,orch,Orchestral,spurious, written by Beethoven's brother Carl
—,13,—,—,German Dances (12),,1792-97,orch,Orchestral,version lost, also arr. for pf
—,13,5,218,German Dances (12),,1792-97,pf,Keyboard,arr. of version for orch,
—,14,—,295,Contredanses (12),,1791-1802,orch,Orchestral,"Nos. 1, 2, 4, 5, 7, 8, 9, 10 and 12 arr. for pf as Hess 102",
—,15,—,324,Ländler (6),D major,1802,2vn vc,Chamber,also arr. for pf,
—,15,—,325,Ländler (6),D major,1802,pf,Keyboard,arr. of version for orch,
—,16,—,—,Ecossaises(12),,,orch,Orchestral,spurious,
—,17,20,710,Mödlinger Tänze (11),,1819,2cl 2hn 2vn db,Chamber,probably spurious,
—,18,—,519/1,March ('Marsch für die bohmische Landwehr') ('Yorckscher Marsch'),F major,1809-10,ww br perc,Orchestral,"1st version, without trio or 'Turkish' orchestration; also arr. for pf",
—,18,6,501,March ('Marsch für die bohmische Landwehr') ('Yorckscher Marsch'),F major,1809-10,ww br perc,Orchestral,"2nd version, without trio, but with 'Turkish' orchestration",
—,18,99,504,March ('Marsch für die bohmische Landwehr') ('Yorckscher Marsch'),F major,1809-10,pf,Keyboard,arr. of 1st version,
—,18,7,780,March ('Marsch für die bohmische Landwehr') ('Yorckscher Marsch'),F major,1822 ca.,ww br perc,Orchestral,"3rd version, with trio and 'Turkish' orchestration",
—,19,—,519/2,March,F major,1809-10,ww br perc,Orchestral,"1st version, without trio or 'Turkish' orchestration; also arr. for pf",
—,19,8,517,March,F major,1810,ww br perc,Orchestral,"2nd version, without trio, but with 'Turkish' orchestration",
—,19,9,781,March,F major,1822 ca.,ww br perc,Orchestral,"3rd version, with trio and 'Turkish' orchestration",
—,20,—,525,March ('Zapfenstreich') ('The Tattoo'),C major,1809,ww br perc,Orchestral,"1st version, without trio",
—,20,—,525,March ('Zapfenstreich') ('The Tattoo'),C major,1822 ca.,ww br perc,Orchestral,"2nd version, with trio",
—,21,—,520,Polonaise,D major,1810,ww br perc,Orchestral,,
—,22,—,521,Ecossaise,D major,1809-10,ww br perc,Orchestral,,
—,23,—,532,Ecossaise,G major,1810,ww br perc,Orchestral,lost, only know in arr. for pf by Carl Czerny
—,24,—,653,March,D major,1816,ww br perc,Orchestral,,
—,25,—,40,Rondino,E♭ major,1792-93,2ob 2cl 2bn 2hn,Chamber,originally intended as finale to Op. 103,
—,26,17,32,Duo for 2 flutes,G major,1792,2fl,Chamber,,
—,27,—,39,Duets (3),,,cl bn,Chamber,Beethoven's authorship doubtful, also arr. for vn vc
—,27,—,39,Duets (3),,,vn vc,Chamber,Beethoven's authorship doubtful, arr. from version for cl bn
—,28,18,—,"Variations on 'Là ci darem la mano', WoO 28 (8)",C major,1795,2ob eh,Chamber,"theme from Don Giovanni, K.527, by Wolfgang Amadeus Mozart",
—,29,—,440,March for Wind Sextet in B-flat major('Grenadiermarsch'),B♭ major,1797-98,2cl 2bn 2hn,Chanber,music re-used in Hess 107, also arr. for pf
—,29,87,—,March for Wind Sextet in B-flat major('Grenadiermarsch'),B♭ major,1797-98,pf,Keyboard,arr. of version for wind sextet,
—,30,—,548,Equali (3),,1812,4tbn,Chamber,also arr. for mch,
—,30,—,—,Equali (3),,1812,mch,Chamber,arr. from version for 4tbn, Beethoven's authorship uncertain
—,31,—,6,Fugue,D major,1783,org,Keyboard,,
—,32,22-24,161,Duet mit zwei obligaten Augengläsern ('Duet with 2 obbligato eyeglasses'),E♭ major,1796-97,va vc,Chamber,movt. II incomplete,
—,33,103-106,197-200,Pieces for Musical Clock (or for flute) (5),,1794-1800,mech/fl,Chamber,,
—,34,42,740,Duet,A major,1822,2vn,Chamber,,
—,35,273,809,Canon,A major,1825,2vn/2vc,Chamber,,
—,36,—,12,Piano Quartets(3):,,1785,vn va vc pf,Chamber,,
—,36/1,—,12/1,,,,,,,
Piano Quartet No.1 in E-flat major,,,,,,,,,,
E♭ major,1785,vn va vc pf,Chamber,one theme also used in Hess 298,,,,,,
—,36/2,—,12/2,,,,,,,
Piano Quartet No.2 in D major,,,,,,,,,,
D major,1785,vn va vc pf,Chamber,,,,,,,
—,36/3,—,12/3,,,,,,,
Piano Quartet No.3 in C major,,,,,,,,,,
C major,1785,vn va vc pf,Chamber,some music re-used in Op.2/1 and Op. 2/3,,,,,,
—,37,—,19,Trio,G major,1786-90,fl bn pf,Chamber,,
—,38,—,31,Piano Trio in E-flat major,E♭ major,1785-91,vn vc pf,Chamber,,
—,39,—,542,Allegretto,B♭ major,1812,vn vc pf,Chamber,,
—,40,—,46,Variations on 'Se vuol ballare' (12),F major,1792-93,vn pf,Chamber,"theme from the opera [[Le nozze di Figaro, K.492 (Mozart, Wolfgang Amadeus, {{{4}}})|Le nozze di Figaro]], K.492, by [[:Category:Mozart, Wolfgang Amadeus, {{{4}}}|{{{4}}} Mozart, Wolfgang Amadeus]]",
—,41,—,57,Rondo,G major,1793-94,vn pf,Chamber,,
—,42,—,112,German Dances (6),,1796,vn pf,Chamber,,
—,43a,—,121,Sonatina,C minor,1796,mand hpd,Chamber,,
—,43b,—,122,Adagio,E♭ major,1796,mand hpd,Chamber,1st version,
—,43b,44,123,Adagio,E♭ major,,mand hpd,Chamber,2nd version,
—,44a,43,124,Sonatina,C major,1796,mand hpd,Chamber,,
—,44b,45,125,Andante con Variazioni,D major,1796,mand hpd,Chamber,,
—,45,—,126,Variations on 'See the conqu'ring hero comes' (12),G major,1796,vc pf,Chamber,"theme from the oratorio Judas Maccabaeus, HWV 63, by George Frideric Handel",
—,46,—,300,"Variations on 'Bei Männern, welche Liebe fühlen' (7)",E♭ major,1801,vc pf,Chamber,"theme from the opera Die Zauberflöte, K.620, by Wolfgang Amadeus Mozart",
—,47,—,2,Piano Sonatas ('Electoral') ('Kurfürstensonate'):,,1783,pf,Keyboard,,
—,47/1,—,2/1,,,,,,,
Piano Sonata,,,,,,,,,,
E♭ major,1783,pf,Keyboard,,,,,,,
—,47/2,—,2/2,,,,,,,
Piano Sonata,,,,,,,,,,
F minor,1783,pf,Keyboard,,,,,,,
—,47/3,—,2/3,,,,,,,
Piano Sonata,,,,,,,,,,
D major,1783,pf,Keyboard,,,,,,,
—,48,51,4,Rondo,C major,1783,pf,Keyboard,,
—,49,—,5,Rondo,A major,1783,pf,Keyboard,,
—,50,53,21,Piano Sonata,F major,1790-92,pf,Keyboard,2 movts. only,
—,51,—,36,Piano Sonata,C major,1791-98,pf,Keyboard,partially lost, completion by Ferdinand Ries
—,52,—,139,Bagatelle,C minor,1795-1822,pf,Keyboard,originally intended for Op.10,
—,53,—,158,Allegretto,C minor,1796-97,pf,Keyboard,originally intended for Op. 10, 1st version
—,53,66,159,Allegretto,C minor,1796-97 ?,pf,Keyboard,2nd version,
—,54,—,26,Bagatelle ('Lustig-traurig'),C major-C minor,1802,pf,Keyboard,,
—,55,—,374,Prelude,F minor,1803,pf,Keyboard,,
—,56,—,408,Bagatelle,C major,1803-22,pf,Keyboard,,
—,57,—,409,Andante favori,F major,1803-04,pf,Keyboard,originally intended as movt. II of Op. 53, see also Hess Anh. 10
—,58,—,424,Cadenzas (2),D minor,1809,pf,Keyboard,"for movts. I and III of Piano Concerto No.20 in D minor, K.466, by Wolfgang Amadeus Mozart",
—,59,—,515,Für Elise (Bagatelle),A minor,1808-10,pf,Keyboard,,
—,60,—,690,Bagatelle in B-flat major ('Zeimlich lebhaft') ('A little lively'),B♭ major,1818,pf,Keyboard,,
—,61,62,736,Allegretto,B minor,1821,pf,Keyboard,,
—,61a,56,825,Bagatelle (Allegretto quasi Andante),G minor,1825,pf,Keyboard,,
—,62,41,846,"String Quintet ('""Letzter musikalischer Gedanke') '('Last Musical Thought')",C major,1826,2vn va vc,Chamber,sketches only, arr. for pf and completed by Anton Diabelli
—,63,—,1,Variations on a March by Dressler (9),C minor,1782,pf,Chamber,based on a march by Ernst Christoph Dressler,
—,64,—,25,Variations on a Swiss song(6),F major,1790-92,pf/hp,Keyboard/,,
Chamber,,,,,,,,,,
—,65,55,299,Variations on 'Venni Amore' (24),D major,1790-91,pf,Keyboard,theme by Vincenzo Righini,
—,66,—,37,Variations on 'Es war einmal ein alter Mann'(13),A major,1792,pf,Keyboard,theme from the opera Das rote Käppchen by Carl Ditters von Dittersdorf,
—,67,—,35,Variations on a Theme by Count Waldstein (8),C major,1792,pf4h,Keyboard,,
—,68,—,94,Variations on 'Menuet a la Vigano' (12),C major,1795,pf,Keyboard,theme from the ballet ''La nozza disturbate'' by Jakob Haibel,
—,69,—,90,Variations on 'Quant'e piu bello' (9),A major,1795,pf,Keyboard,"theme from the opera L'amor contrastato, R 1.76, by Giovanni Paisiello",
—,70,—,91,Variations on 'Nel cor piu non mi sento' (6),G major,1795,pf,Keyboard,"theme from the opera L'amor contrastato, R 1.76, by Giovanni Paisiello",
—,71,—,107,Variations on the Russian Dance from 'Das Waldmädchen' (12),A major,1796-97,pf,Keyboard,theme from the ballet ''Das Waldmádchen'' by Paul Wranitzky,
—,72,—,138,Variations on 'Une fièvre brûlante' (8),C major,1795-98,pf,Keyboard,theme from the opera Richard Cœur-de-Lion by André Ernest Modeste Grétry,
—,73,—,175,"Variations on 'La stessa, la stessissima' (10)",B♭ major,1799,pf,Keyboard,theme from the opera Falstaff by Antonio Salieri,
—,74,—,177 / 418,Variations for Piano Four-Hands on 'Ich denke dein' (6),D major,1799-1803,pf4h (+ v),Keyboard / Vocal,theme includes vocal part,
—,75,—,181,"Variations on 'Kind, willst du ruhig schlafen' (7)",F major,1792-99,pf,Keyboard,theme from the opera Das unterbrochene Opferfest by Peter von Winter,
—,76,—,179,Variations on 'Tändeln und Scherzen' (8),F major,1799,pf,Keyboard,theme from the opera ''Soliman oder die drei Sultaninnen'' by Franz Xaver Süssmayr,
—,77,—,209,Variations in G major(6) ('Six Easy Variations on an Original Theme'),G major,1800,pf,Keyboard,,
—,78,—,368,Variations on 'God Save the King' (7),C major,1802-03,pf,Keyboard,theme of the British national anthem God Save the King,
—,79,—,369,Variations on 'Rule Britannia' (5),D major,1803,pf,Keyboard,theme of Rule Britannia by Thomas Augustine Arne,
—,80,—,430,Variations (32),C minor,1806,pf,Keyboard,,
—,81,—,266,Allemande,A major,1793-1822,pf,Keyboard,,
—,82,—,373,Minuet,E♭ major,1803,pf,Keyboard,,
—,83,—,437,Ecossaises (6),E♭ major,1806,pf,Keyboard,,
—,84,—,793,Waltz,E♭ major,1824,pf,Keyboard,,
—,85,—,828,Waltz,D major,1825,pf,Keyboard,,
—,86,—,829,Ecossaise,E♭ major,1825,pf,Keyboard,,
—,87,—,17,Cantata on the Death of Emperor Joseph II (Trauerkantate auf den Tod Joseph II),C minor,1790,sop bass ch orch,Vocal,,
—,88,—,18,Cantata on the Accession of Emperor Leopold II (Kantate auf die Erhebung Leopold II zur Kaiserwürde),A♭ major-D major,1790,sop ten bass ch orch,Vocal,,
—,89,—,28/1,"Prüfung des Küssens (""Meine weise Mutter spricht"")",F major,1790-92,bass orch,Vocal,,
—,90,—,28/2,Mit Mädeln sich vertragen,D major,1790-92,bass orch,Vocal,,
—,91,—,119,"Die schöne Schusterin, arias for Umlau's Singspiel (2):",,1795,sop orch,Stage,"for the Singspiel Singspiel ''Die schöne Schusterin, oder Die pücefarbenen Schuhe'' byIgnaz Umlauf",
—,91/1,—,119/1,,,,,,,
O welch ein Leben! ein ganzes Meer,,,,,,,,,,
F major,1795,sop orch,Stage,theme re-used in Op. 52/4,,,,,,
—,91/2,—,119/2,,,,,,,
Soll ein Schuh nicht drücken,,,,,,,,,,
B♭ major,1795,sop orch,Stage,,,,,,,
—,92,—,214,"Primo amore piacer del ciel, scene and aria",A major,1791-92,sop orch,Vocal,,
—,92a,119,304,"No, non turbarti, scene and aria",,1802,sop str,Vocal,,
—,93,120,352,"Ne' giorni tuoi felici, duet",,1802,sop ten orch,Vocal,,
—,94,—,568,Germania,B♭ major,1814,vv ch orch,Stage,finale for the Singspield ''Die gute Nachricht'' by Georg Friedrich Treitschke,
—,95,—,583,"Chorus for the Allied Princes (Chor auf die verbündeten Fürsten) (""Ihr weisen Gründer"")",A major,1814,ch orch,Vocal,,
—,96,—,595,"Leonore Prohaska, incidental music",,1815,nar sop mch orch,Stage,for the drama of the same name by Johann Friedrich Leopold Duncker, the funeral march (No. 4) is arr. for orch of movt. III from Op. 26
—,97,—,598,"Es ist vollbracht, chorus",D major,1815,bass ch orch,Stage,finale for the Singspiel ''Die Ehrempforten'' by Georg Friedrich Treitschke,
—,98,118,742,"Wo sich die Pulse, chorus",B♭ major,1822,sop ch orch,Stage,part of Op. 114,
—,99,—,—,Italian Partsongs,,,,,,
—,99/1,211,58,,,,,,,
"Bei labbri, che Amore",,,,,,,,,,
B♭ major,1801-03,2vv,Vocal,,,,,,,
—,99/2,214,202,,,,,,,
Chi mai di questo core,,,,,,,,,,
C major,1801-03,3vv,Vocal,,,,,,,
—,99/3a,—,142,,,,,,,
Fra tutte le pene,,,,,,,,,,
1796-97,2vv,Vocal,"1st setting, 1st version",,,,,,,
—,99/3a,208,143,,,,,,,
Fra tutte le pene,,,,,,,,,,
1801-03,2vv,Vocal,"1st setting, 2nd version",,,,,,,
—,99/3b,225,144,,,,,,,
Fra tutte le pene,,,,,,,,,,
1801-03,2vv,Vocal,"2nd setting, 1st version",,,,,,,
—,99/3b,209,145,,,,,,,
Fra tutte le pene,,,,,,,,,,
1801-03,2vv,Vocal,"2nd setting, 2nd version",,,,,,,
—,99/3c,224,146,,,,,,,
Fra tutte le pene,,,,,,,,,,
1801-03,2vv,Vocal,"3rd setting, 1st version",,,,,,,
—,99/3c,210,147,,,,,,,
Fra tutte le pene,,,,,,,,,,
1801-03,2vv,Vocal,"3rd setting, 2nd version",,,,,,,
—,99/4a,222,341,,,,,,,
Già la notte s'avvicina,,,,,,,,,,
1801-03,4vv,Vocal,1st setting,,,,,,,
—,99/4b,223,342,,,,,,,
Già la notte s'avvicina,,,,,,,,,,
1801-03,3vv,Vocal,2nd setting,,,,,,,
—,—,230,215,,,,,,,
Giura il nocchier,,,,,,,,,,
C major,1792-94,4vv,Vocal,"1st setting, 1st version",,,,,,
—,99/5a,221,336,,,,,,,
Giura il nocchier,,,,,,,,,,
C major,1801-03,4vv,Vocal,"1st setting, 2nd version",,,,,,
—,99/5b,227,59,,,,,,,
Giura il nocchier,,,,,,,,,,
C major,1801-03,3vv,Vocal,2nd setting,,,,,,
—,99/6,212,60,,,,,,,
"Ma tu tremi, o mio tesoro",,,,,,,,,,
G major,1801-03,3vv,Vocal,,,,,,,
—,99/7a,217,109,,,,,,,
Nei campi e nelle selve,,,,,,,,,,
C major,1801-03,4vv,Vocal,1st setting,,,,,,
—,99/7b,220,110,,,,,,,
Nei campi e nelle selve,,,,,,,,,,
C major,1801-03,4vv,Vocal,2nd setting,,,,,,
—,99/8,—,84,,,,,,,
O care selve,,,,,,,,,,
G major,1794-95,v uch,Vocal,also published separately as WoO 119,,,,,,
—,99/9,216,127,,,,,,,
Per te d'amico aprile,,,,,,,,,,
E♭ major,1801-03,3vv,Vocal,,,,,,,
—,99/10a,213,149,,,,,,,
Quella cetra ah pur tu sei,,,,,,,,,,
A major,1801-03,3vv,Vocal,1st setting,,,,,,
—,99/10b,218,148,,,,,,,
Quella cetra ah pur tu sei,,,,,,,,,,
A major,1801-03,3vv,Vocal,2nd setting,,,,,,
—,99/10c,219,150,,,,,,,
Quella cetra ah pur tu sei,,,,,,,,,,
A major,1801-03,3vv,Vocal,3rd setting,,,,,,
—,99/11,215,128,,,,,,,
Scrivo in te,,,,,,,,,,
D major,1801-03,3vv,Vocal,,,,,,,
—,99/12,226,335,,,,,,,
"Silvio, amante disperato",,,,,,,,,,
1801-02,4vv,Vocal,,,,,,,,
—,100,278,303,"Lob auf den Dicken (""Schuppanzigh ist ein Lump""), musical joke",G major,1801,ten 2bass ch,Vocal,,
—,101,279,331,"Graf, liebster Graf, liebstes Schaf, musical joke",E♭ major,1802,3vv,Vocal,,
—,102,—,573,"Abschiedsgesang (""Die Stunde schlägt"") ('Song of Farewell')",B♭ major,1814,ten 2bass,Vocal,,
—,103,127,574,"Un lieto brindisi('Cantata campestre') (""Johannisfeier begehn wir heute"")",B♭ major,1814,4vv pf,Vocal,,
—,104,—,673,"Gesang der Mönche (""Rasch tritt der Tod den Menchen an"") (Song of the Monks)",C minor,1817,2ten bass,Vocal,for the play ''William Tell'' by Friedrich Schiller,
—,105,124,696,"Hochzeitslied(""Auf Freunde, singt dem Gott der ehen!"")",A major,1819,bass ch pf,Vocal,1st version,
—,105,125,696,"Hochzeitslied(""Auf Freunde, singt dem Gott der ehen!"")",C major,1819,uch pf,Vocal,2nd version,
—,106,—,772,Lobkowitz-Cantate,E♭ major,1823,sop ch pf,Vocal,,
—,107,—,7,"Schilderung eines Mädchens(""Schildern, willst du Freund, soll ich dir Elisen?"")",G major,1782,v pf,Vocal,,
—,108,—,9,"An einen Säugling (""Noch weisst du nicht, wes Kind du bist"")",A major,1783,v pf,Vocal,,
—,109,—,13,"Trinklied (beim Abschied zu singen) (""Erhebt das Glas mit froher Hand"")",C major,1791-92,v pf,Vocal,,
—,110,—,14,"Elegie auf den Tod eines Pudels (""Stirb immerhin, es welken ja so viele der Freuden"")",F minor,1790,v pf,Vocal,,
—,111,126,22,"Punschlied(""Wer nicht, wenn warm von Hand zu Hand"")",G major,1791-92,v pf,Vocal,,
—,112,128,27,"An Laura(""Freud' umblühe dich auf allen Wegen"")",G major,1792,v pf,Vocal,,
—,113,—,23,Klage,E major,1790,v pf,Vocal,,
—,114,—,38,"Ein Selbstgespräch (""Ich, der mit flatternden Sinn"")",E major,1793,v pf,Vocal,,
—,115,—,45,"An Minna(""Nur bei dir, an deinem Herzen"")",D major,1792,v pf,Vocal,,
—,116a,129,44,Que le temps me dure,C minor,1793,v pf,Vocal,"1st version, incomplete",
—,116b,130,44,Que le temps me dure,C major,1793,v pf,Vocal,"2nd version, incomplete",
—,117,—,77,"Der freie Mann (""Wer ist ein freier Mann?"")",C major,1792-94,uch,Vocal,,
—,118,—,79,"Seufzer eines Ungeliebten und Gegenliebe (""Hast du nicht Liebe zugernessen"")",C minor,1794-95,v pf,Vocal,theme later used in Op.80,
—,119,—,84,O care selve,G major,1794-95,v pf,Vocal,also published as WoO 99/8,
—,120,—,78,"Man strebt, die Flamme zu verhehlen",F major,1800-02,v pf,Vocal,,
—,121,—,108,"Abschiedsgesang an Wiens Bürger(""Keine Klage soll erschallen"")",G major,1796,v pf,Vocal,,
—,122,—,132,"Kriegslied der Österreicher (""Ein grosses deutches Volk sind wir"")",C major,1797,v uch pf,Vocal,,
—,123,—,287,"Zärtliche Liebe (""Ich liebe dich, so wie du mich"")",G major,1795,v pf,Vocal,,
—,124,—,164,"La Partenza (Der Abschied) (""Ecco quel fiero istante!"")",A major,1795,v pf,Vocal,,
—,125,135,125,"La tiranna(""Ah grief to think"")",E♭ major,1798-99,v pf,Vocal,,
—,126,—,173,"Opferlied(""Die Flamme lodert"")",E major,1794-95,v pf,Vocal,"1st version of Op. 121b, Hess 91, Hess 145",
—,127,136,186,"Neue Liebe, neues Leben (""Herz, mein Herz, was soll das geben?"")",C major,1798-99,v pf,Vocal,1st setting of Op. 75/2,
—,128,131,201,"Plaisir d'aimer"" (""Plaisir d'aimer besoin d'une âme tendre"")",G major,1798-99,v pf,Vocal,,
—,129,—,378,"Der Wachtelschlag (""Ach, wie schalt's dorten so lieblich hervor"")",F major,1803,v pf,Vocal,,
—,130,—,416,"Gedenke mein! (""Gedenke mein, ich denke dein"")",E♭ major,1804-20,v pf,Vocal,,
—,131,148,526,"Erlkönig(""Wer reitet so spat durch Nacht und Wind?"")",D minor,1794-96,v pf (?),Vocal,unfinished sketch for song,
—,132,—,428,"Als die Geliebte sich trennen wollte(""Der Hoffnung letzter Schimmer sinkt dahin"") ('Empfindungen bei Lydiens Untreue')",E♭ major,1806,v pf,Vocal,,
—,133,—,442,"In questa tomba oscura, arietta",A♭ major,1806-07,v pf,Vocal,,
—,134/1,—,446/1,Sehnsucht,G minor,1807-08,v pf,Vocal,1st setting,
—,134/2,—,446/2,Sehnsucht,G minor,1807-08,v pf,Vocal,2nd setting,
—,134/3,—,446/3,Sehnsucht,E♭ major,1807-08,v pf,Vocal,3rd setting,
—,134/4,—,446/4,Sehnsucht,G minor,1807-08,v pf,Vocal,4th setting,
—,135,—,503,"Die laute Klage (""Turteltaube, du klagtest so laut"")",C minor,1814-15,v pf,Vocal,,
—,136,—,496,"Andenken (""Ich denke dein"")",D major,1808,v pf,Vocal,,
—,137,—,498,"Lied aus der Ferne (""Als mir noch die Träne"")",B♭ major,1809,v pf,Vocal,,
—,138,—,497,"Der Jüngling in der Fremde (""Der Früling entblühet dem Schoß der Natur"")",B♭ major,1809,v pf,Vocal,,
—,139,—,500,"Der Liebende (""Welch ein wunderbares Leben"")",D major,1809,v pf,Vocal,,
—,140/1,—,540/1,"An die Geliebte (""O daß ich dir vom stillen Auge"")",D major,1811,v pf,Vocal,1st setting,
—,140/2,—,540/2,"An die Geliebte (""O daß ich dir vom stillen Auge"")",D major,1814,v pf,Vocal,2nd setting,
—,141,—,555,"Der Gesang der Nachtigall (""Höre, die Nachtigall singt"""")",C major,1813,v pf,Vocal,,
—,142,—,558,"Der Bardengeist (""Dort auf dem hohen Felsen sang"")",E minor,1813,v pf,Vocal,,
—,143,—,589,"Des Kriegers Abschied (""Ich zieh' ins Feld von Lieb'entbrannt"")",E♭ major,1814,v pf,Vocal,,
—,144,—,587,Merkenstein,E♭ major,1814,v pf,Vocal,1st setting of Op.100,
—,145,—,642,"Das Geheimnis (""Wo blüht das Blümchen, das nie verblüht?"")",G major,1815,v pf,Vocal,,
—,146,—,648,"Sehnsucht (""Die stille Nacht umdunkelt"")",E major,1816,v pf,Vocal,,
—,147,—,658,"Ruf vom Berge (""Wenn ich ein Vöglein wär"")",A major,1816,v pf,Vocal,,
